comment,sentiment
이전 노래보다 실망이다.,negative
특별한 느낌이 없다.,negative
별로다.,negative
이걸 들은 게 후회된다.,negative
이 노래를 들으면 우울해진다.,negative
행복이라는 단어와 먼 노래,negative
순위가 높은 게 이해되지 않는 노래,negative
가사가 진부하고 감동적이지 않네요.,negative
멜로디가 너무 지루하고 반복적이에요. 듣다가 꺼버렸어요.,negative
이 노래는 정말 실망스러워요. 기대했던 것과 달라서 너무 아쉬워요.,negative
편곡이 산만해서 집중해서 듣기 힘들다.,negative
참신한 맛이 없네,negative
노래가 단조롭고 흥미를 끌지 못한다,negative
다른 곡을 추천함,negative
다른 가수 곡과 비교했을 때 경쟁력이 떨어진다,negative
곡이 뻔하다. 새로운 시도가 필요할 듯,negative
노래가 너무 길어서 지루함,negative
가사가 너무 억지스러움,negative
사람들이 왜 이렇게 찬양하는지 모르겠음,negative
가수의 매력을 못 살린 곡,negative
윤하에게 어울리지 않는 노래,negative
한두번 듣고 말았던 노래,negative
너무 잔잔하다,negative
임팩트가 없다,negative
